"SRR4785819"	"SRR4785820"	"SRR4785828"	"SRR4785831"	"SRR4785979"	"SRR4785980"	"SRR4785986"	"SRR4785988"
"KRTAP12-4"	0	0	0	0	0	0	0	0
"KRTAP12-6P"	0	0	0	0	0	0	0	0
"KRTAP13-1"	0	0	0	0	0	0	0	0
"KRTAP13-2"	0	0	0	0	0	0	0	0
"KRTAP13-3"	0	0	0	0	0	0	0	0
"KRTAP13-4"	0	0	0	0	0	0	0	0
"KRTAP13-5P"	0	0	0	0	0	0	0	0
"KRTAP13-6P"	0	0	0	0	0	0	0	0
"KRTAP15-1"	0	0	0	0	0	0	0	0
"KRTAP16-1"	0	0	1	0	0	0	2	3
"KRTAP17-1"	0	0	0	0	0	0	0	0
"KRTAP19-1"	0	0	0	0	0	0	0	0
"KRTAP19-10P"	0	0	0	0	2	0	0	0
"KRTAP19-11P"	0	0	0	0	0	0	0	0
"KRTAP19-2"	1	0	0	0	0	0	1	0
"KRTAP19-3"	0	0	0	1	0	0	0	0
"KRTAP19-4"	0	0	0	0	0	0	0	0
"KRTAP19-5"	0	0	0	0	0	0	0	0
"KRTAP19-6"	0	0	0	0	0	0	0	0
"KRTAP19-7"	0	0	0	0	0	0	0	0
"KRTAP19-8"	0	0	0	0	0	0	0	0
"KRTAP19-9P"	0	0	0	0	0	0	0	0
"KRTAP2-1"	0	0	0	0	0	0	0	0
"KRTAP2-2"	0	0	0	0	0	0	0	0
"KRTAP2-3"	0	0	0	0	0	0	0	0
"KRTAP2-4"	0	0	0	0	0	0	0	0
"KRTAP2-5P"	0	0	0	0	0	0	0	0
"KRTAP20-1"	0	0	0	0	2	0	0	0
"KRTAP20-2"	0	0	0	0	0	0	0	0
"KRTAP20-3"	0	0	0	0	0	0	0	0
"KRTAP20-4"	0	0	0	0	0	0	1	0
"KRTAP21-1"	0	0	0	0	0	0	0	0
"KRTAP21-2"	0	0	0	0	1	0	0	0
"KRTAP21-3"	0	0	0	0	0	0	0	0
"KRTAP21-4P"	1	0	2	0	0	0	0	0
"KRTAP22-1"	0	0	0	0	0	0	0	0
"KRTAP22-2"	0	0	0	0	2	0	0	0
"KRTAP23-1"	0	0	0	0	0	0	0	0
"KRTAP24-1"	0	0	0	0	0	0	0	0
"KRTAP25-1"	0	0	0	0	0	0	0	0
"KRTAP26-1"	0	0	0	0	1	0	0	0
"KRTAP27-1"	0	0	0	0	0	0	0	0
"KRTAP29-1"	0	21	0	0	0	0	0	0
"KRTAP3-1"	17	1	0	0	6	21	5	4
"KRTAP3-2"	0	0	1	0	0	0	0	0
"KRTAP3-3"	0	0	0	0	0	0	0	0
"KRTAP3-4P"	0	0	0	0	0	0	0	0
"KRTAP4-1"	0	0	0	0	0	0	0	0
"KRTAP4-11"	0	0	0	0	0	0	0	0
"KRTAP4-12"	0	0	0	0	1	0	0	0
"KRTAP4-16"	1	2	5	0	0	0	0	2
"KRTAP4-17P"	0	0	0	0	0	0	0	0
"KRTAP4-2"	0	0	0	0	0	0	1	0
"KRTAP4-3"	0	0	0	0	0	0	0	0
"KRTAP4-4"	0	0	0	0	0	0	0	1
"KRTAP4-5"	0	0	0	0	2	0	0	0
"KRTAP4-6"	0	0	0	0	0	0	1	0
"KRTAP4-7"	0	0	0	0	0	0	0	0
"KRTAP4-8"	0	22	0	0	0	0	0	0
"KRTAP4-9"	0	19	0	0	0	0	0	0
"KRTAP5-1"	0	0	0	0	0	1	0	0
"KRTAP5-10"	0	0	4	0	1	2	0	1
"KRTAP5-11"	107	0	8	9	9	74	61	17
"KRTAP5-14P"	0	0	0	0	0	0	0	0
"KRTAP5-2"	5	0	0	3	2	5	2	8
"KRTAP5-3"	0	0	0	0	0	2	1	0
"KRTAP5-4"	0	8	0	0	1	1	0	0
"KRTAP5-5"	0	0	0	0	0	0	0	0
"KRTAP5-6"	0	0	0	0	0	0	0	0
"KRTAP5-7"	8	0	0	0	0	6	4	2
"KRTAP5-8"	6	0	4	0	0	2	4	0
"KRTAP5-9"	10	0	0	0	0	2	1	4
"KRTAP6-1"	0	0	0	0	0	0	0	0
"KRTAP6-2"	0	0	0	0	0	0	0	0
"KRTAP6-3"	0	0	0	0	0	0	0	0
"KRTAP7-1"	0	0	0	0	4	0	2	0
"KRTAP8-1"	1	0	0	0	0	0	0	0
"KRTAP8-2P"	0	0	0	0	0	0	0	0
"KRTAP8-3P"	0	0	0	0	0	0	0	0
"KRTAP9-1"	0	0	0	0	0	0	0	0
"KRTAP9-10P"	0	0	0	0	0	0	0	0
"KRTAP9-11P"	0	0	0	0	0	0	0	0
"KRTAP9-12P"	0	0	0	0	0	0	0	0
"KRTAP9-2"	0	0	0	0	0	0	0	0
"KRTAP9-3"	0	0	0	0	0	0	0	0
"KRTAP9-4"	0	0	0	0	0	0	0	0
"KRTAP9-6"	7	26	10	1	0	15	26	18
"KRTAP9-7"	0	0	0	0	0	0	0	0
"KRTAP9-8"	0	0	0	0	0	0	0	0
"KRTAP9-9"	0	0	0	0	0	0	0	0
"KRTCAP2"	531	593	526	281	886	783	517	781
"KRTCAP2P1"	2	0	1	0	0	0	0	0
"KRTCAP3"	9	0	1	0	0	0	3	9
"KRTDAP"	0	0	0	0	22	0	0	15
"KSR1"	2263	409	247	200	554	2085	1556	1509
"KSR1P1"	0	0	0	0	0	0	0	0
"KSR2"	177	42	78	62	42	172	265	110
"KTI12"	46	0	42	41	14	270	180	32
"KTN1"	8494	2141	1437	1297	1705	11369	12977	7815
"KXD1"	729	268	349	308	302	464	555	426
"KY"	87	23	29	14	50	75	69	1216
"KYAT1"	168	38	19	6	28	102	50	108
"KYAT3"	543	85	87	65	116	1025	1365	776
"KYNU"	8591	2310	1641	792	2365	9748	14315	6629
"KYNUP1"	10	0	0	0	0	0	0	0
"KYNUP2"	0	1	0	0	10	5	8	22
"KYNUP3"	0	0	0	0	0	0	0	0
"L1CAM"	37	64	60	34	1	73	9	33
"L1TD1"	633	49	50	33	86	236	239	99
"L2HGDH"	1950	1494	2103	1663	405	1696	1637	1731
"L3HYPDH"	540	44	24	19	122	637	621	603
"L3MBTL1"	1808	228	355	119	199	539	628	812
"L3MBTL2"	1275	254	114	123	119	803	788	501
"L3MBTL3"	639	178	144	84	197	934	1251	813
"L3MBTL4"	1103	178	150	106	198	871	1086	1168
"LACC1"	1242	215	396	207	211	938	1332	606
"LACRT"	13	0	0	0	0	0	0	0
"LACTB"	479	181	164	136	282	768	639	412
"LACTB2"	127	29	29	15	50	428	314	311
"LACTBL1"	1	0	0	0	1	0	0	0
"LAD1"	8	0	0	2	7	0	54	50
"LAG3"	131	34	40	37	18	65	2	72
"LAGE3"	5	43	17	30	0	57	39	49
"LAGE3P1"	107	0	0	0	4	25	17	38
"LAIR1"	4331	378	241	257	417	1426	3168	1238
"LAIR2"	15	0	0	0	0	0	19	5
"LALBA"	0	14	0	0	0	0	0	0
"LAMA1"	465	210	142	160	120	1270	462	567
"LAMA2"	20424	1862	690	1466	859	5734	2701	26765
"LAMA3"	1496	356	79	72	62	1342	692	3479
"LAMA4"	27128	2851	2285	1486	2129	26669	12060	17854
"LAMA5"	5342	1199	1462	642	102	170	144	566
"LAMB1"	23744	891	943	1077	1386	16103	10172	16074
"LAMB2"	21752	4911	1773	1877	419	7366	3154	7121
"LAMB2P1"	13	0	16	0	0	10	6	11
"LAMB3"	470	46	71	51	80	219	365	81
"LAMB4"	19	17	4	0	1	50	19	121
"LAMC1"	16609	2626	1644	1703	2171	21629	10237	13744
"LAMC2"	87	0	18	41	9	53	353	181
"LAMC3"	6683	12	45	72	323	209	190	238
"LAMP1"	7693	1264	879	849	1332	6651	4595	3225
"LAMP2"	3966	763	574	630	1110	7886	6180	4866
"LAMP3"	49	47	18	52	116	202	620	101
"LAMP5"	4	39	0	0	144	87	157	237
"LAMTOR1"	1027	304	473	294	69	908	599	909
"LAMTOR2"	295	72	167	116	6	308	203	2
"LAMTOR3"	701	175	217	203	271	1165	565	591
"LAMTOR3P1"	0	0	0	0	0	0	0	0
"LAMTOR3P2"	6	4	0	1	8	13	16	41
"LAMTOR4"	614	353	326	264	136	672	404	306
"LAMTOR5"	516	219	195	141	291	922	1187	489
"LAMTOR5P1"	1	0	0	0	0	0	5	5
"LANCL1"	1329	323	240	275	463	2134	2614	2102
"LANCL2"	535	35	94	75	146	185	133	496
"LANCL3"	57	60	39	64	29	238	97	148
"LAP3"	1540	198	428	424	863	5281	8776	2376
"LAP3P1"	12	0	0	0	0	9	10	19
"LAP3P2"	0	0	0	0	1	0	1	5
"LAPTM4A"	6944	1219	1075	967	896	11026	7116	4997
"LAPTM4B"	718	170	151	80	15	647	438	721
"LAPTM4BP1"	0	0	0	0	0	0	0	0
"LAPTM4BP2"	0	0	0	0	0	0	0	1
"LAPTM5"	8503	950	1283	895	4359	13665	20128	5443
"LARGE1"	1905	381	295	130	298	1945	2276	2006
"LARGE2"	15	0	0	0	9	24	171	13
"LARP1"	7113	1732	1309	1226	1914	6239	5428	5019
"LARP1B"	869	210	197	200	355	1037	1665	1320
"LARP1BP1"	0	0	0	0	0	0	1	0
"LARP1BP2"	0	0	0	0	2	0	2	24
"LARP1BP3"	0	0	0	0	0	0	0	0
"LARP1P1"	0	0	0	0	0	0	0	0
"LARP4"	2071	207	578	335	1170	4955	5278	3076
"LARP4B"	5038	488	419	303	1423	5865	5762	3865
"LARP4P"	31	0	0	5	6	85	126	73
"LARP6"	1081	493	368	456	31	952	454	1073
"LARP7"	1508	786	455	342	498	1778	2381	1352
"LARP7P1"	0	0	0	0	0	0	0	0
"LARP7P2"	0	0	5	0	1	4	0	0
"LARP7P3"	0	0	0	0	0	0	0	0
"LARP7P4"	0	0	0	0	0	4	0	0
"LARS1"	5132	1242	1071	935	1194	6449	7957	4480
"LARS2"	1545	149	69	99	305	1372	1664	940
"LAS1L"	2068	748	243	138	383	1478	1773	1377
"LASP1"	6946	2900	1858	1285	1517	3584	2839	3407
"LAT"	347	86	43	25	146	335	589	209
"LAT2"	1026	117	157	136	247	415	931	425
"LATS1"	2740	368	462	483	572	3044	3591	2479
"LATS2"	1990	603	472	362	168	2535	927	1571
"LAX1"	154	89	92	41	53	239	409	900
"LAYN"	172	104	38	42	27	376	232	225
"LBH"	2674	795	864	317	339	6477	5061	2729
"LBHD1"	331	85	41	15	19	77	92	72
"LBHD2"	3	0	0	0	0	0	0	0
"LBP"	67	0	58	8	721	167	2804	126
"LBR"	753	42	97	109	366	1693	2167	1675
"LBX1"	0	0	0	0	0	0	0	0
"LBX2"	24	53	43	23	12	39	24	20
"LCA5"	449	91	53	93	54	721	459	939
"LCA5L"	238	14	12	8	18	188	133	145
"LCAT"	139	40	1	15	33	444	126	74
"LCE1A"	0	0	0	0	0	0	0	0
"LCE1B"	0	0	0	0	3	0	0	0
"LCE1C"	0	0	0	0	0	0	0	0
"LCE1D"	0	0	0	0	0	0	0	0
"LCE1E"	0	0	0	0	0	0	0	0
"LCE1F"	0	0	0	0	2	0	0	0
"LCE2A"	0	0	0	0	2	0	0	0
"LCE2B"	0	0	0	0	2	0	0	0
"LCE2C"	0	0	0	0	0	0	0	0
"LCE2D"	0	0	0	0	0	0	0	0
"LCE3A"	0	0	0	0	0	0	0	0
"LCE3B"	0	0	0	0	0	0	0	0
"LCE3C"	0	0	0	0	0	0	0	0
"LCE3D"	0	0	0	0	0	0	0	0
"LCE3E"	0	0	0	0	0	0	0	0
"LCE4A"	0	0	0	0	0	0	0	0
"LCE5A"	0	0	3	0	0	0	0	0
"LCE6A"	0	0	0	0	0	0	0	0
"LCEP1"	0	0	0	0	0	0	0	0
"LCEP2"	0	0	0	0	0	0	0	0
"LCEP3"	0	0	0	0	0	0	0	0
"LCEP4"	0	0	0	0	0	0	0	0
"LCK"	106	10	46	40	95	30	591	135
"LCLAT1"	3739	993	1042	543	777	4491	5365	3830
"LCMT1"	640	185	129	90	113	675	499	627
"LCMT2"	178	144	118	110	76	454	431	180
"LCN1"	0	0	1	0	0	0	0	0
"LCN10"	28	13	32	18	4	28	127	18
"LCN12"	53	21	7	4	16	14	31	39
"LCN15"	421	88	16	38	63	335	389	428
"LCN1P1"	1	0	0	1	0	2	0	0
"LCN1P2"	0	0	0	0	0	0	0	0
"LCN2"	1	2	1	0	3	2	0	48
"LCN6"	26	0	16	1	2	27	18	0
"LCN8"	2	0	0	1	0	0	2	0
"LCN9"	0	0	0	0	0	0	0	0
"LCNL1"	19	21	11	1	0	3	22	0
"LCOR"	3376	524	439	414	1201	3492	4626	4168
"LCORL"	1195	199	176	114	715	1997	2873	2426
"LCP1"	3934	927	877	695	4151	13870	22003	11378
"LCP2"	1923	114	149	148	799	3103	3958	2470
"LCT"	2	8	0	0	9	9	0	1
"LCTL"	81	148	37	46	20	109	117	124
"LDAF1"	667	237	323	261	31	932	651	1307
"LDAH"	722	59	118	29	72	800	1289	616
"LDB1"	3520	750	506	375	436	1326	1229	1733
"LDB2"	1492	188	314	78	124	1687	935	2866
"LDB3"	426	79	67	94	6	224	153	407
"LDC1P"	3	13	0	0	16	0	2	0
"LDHA"	8042	2899	3213	1833	2857	12281	11298	6604
"LDHAL6A"	41	35	23	7	16	72	87	96
"LDHAL6B"	43	0	0	0	28	138	154	135
"LDHAL6CP"	561	110	85	70	77	490	579	502
"LDHAL6DP"	5	0	0	0	2	3	4	2
"LDHAL6EP"	2	0	0	0	0	0	2	3
"LDHAL6FP"	120	0	0	0	5	34	54	1
"LDHAP1"	0	0	0	0	0	0	0	0
"LDHAP2"	87	0	0	3	7	161	34	114
"LDHAP3"	15	0	0	0	0	12	14	7
"LDHAP4"	1	0	0	0	0	0	0	0
"LDHAP5"	2	0	0	0	0	0	0	0
"LDHAP7"	0	0	0	0	4	1	5	2
"LDHB"	1138	905	716	689	552	1200	3582	4002
"LDHBP1"	32	4	4	0	12	16	18	21
"LDHBP2"	0	0	0	0	0	0	0	0
"LDHBP3"	0	0	0	0	0	0	0	0
"LDHC"	58	2	9	11	5	38	34	47
"LDHD"	125	51	68	63	32	64	176	90
"LDLR"	437	368	217	126	151	356	407	470
"LDLRAD1"	77	19	54	30	5	79	57	75
"LDLRAD2"	628	162	91	71	4	42	57	156
"LDLRAD3"	1020	141	85	80	186	731	454	693
"LDLRAD4"	15439	2444	1634	1249	2778	16430	13943	10526
"LDLRAP1"	3428	338	246	274	331	967	862	1119
"LDOC1"	437	77	123	95	43	189	166	176
"LEAP2"	12	4	9	15	30	32	25	70
"LECT2"	97	207	33	5	21	89	148	188
"LEF1"	36	14	21	15	39	234	927	349
"LEFTY1"	10	0	0	0	8	8	0	20
"LEFTY2"	3	51	8	20	0	19	5	47
"LEKR1"	60	1	4	12	7	53	64	75
"LELP1"	0	0	0	0	0	0	0	0
"LEMD1"	0	0	0	0	0	0	1	0
"LEMD2"	2618	384	182	171	30	811	621	953
"LEMD3"	2241	317	462	218	338	2230	2580	1913
"LENEP"	21	0	0	0	0	0	0	1
"LENG1"	191	172	149	86	2	7	42	99
"LENG8"	21013	1905	1468	908	764	3295	2303	4043
"LENG9"	20	114	61	39	3	2	6	51
"LEO1"	801	126	264	179	109	1132	958	683
"LEP"	65	100	70	153	3	29	41	434
"LEPR"	1010	276	189	466	194	1079	699	1957
"LEPROT"	3463	818	742	539	1156	6367	5115	4377
"LEPROTL1"	1051	269	140	151	330	860	1918	1057
"LETM1"	1835	233	227	251	140	732	670	608
"LETM1P2"	18	11	0	0	0	2	2	0
"LETM2"	432	132	91	71	83	191	346	434
"LETMD1"	1334	336	329	259	280	1798	1560	1020
"LEUTX"	0	0	0	0	0	0	0	0
"LEXM"	0	0	0	0	2	9	0	0
"LFNG"	3325	302	285	194	204	616	490	447
"LGALS1"	3575	3456	3003	2335	668	4229	3138	4397
"LGALS12"	85	2	15	18	11	3	11	278
"LGALS13"	0	0	0	0	0	0	0	0
"LGALS14"	67	30	2	9	14	66	40	37
"LGALS16"	0	0	0	2	1	0	0	0
"LGALS17A"	27	0	12	17	11	16	27	31
"LGALS2"	51	15	6	21	12	143	251	4
"LGALS3"	4945	1610	1442	1114	415	4698	4455	5600
"LGALS3BP"	6505	838	633	809	419	1778	2782	1929
"LGALS4"	11	5	8	14	8	20	11	23
"LGALS7"	0	16	0	0	0	0	0	0
"LGALS7B"	0	0	0	0	0	3	11	17
"LGALS8"	2321	397	297	290	661	4054	3543	2398
"LGALS9"	1611	64	183	262	624	1070	1493	489
"LGALS9B"	7	0	0	1	11	13	11	1
"LGALS9C"	5	0	2	0	5	3	10	1
"LGALS9DP"	0	0	0	0	0	8	1	1
"LGALSL"	779	210	151	191	154	447	719	1880
"LGI1"	95	108	39	71	12	35	84	175
"LGI2"	1728	190	326	212	293	1480	1694	502
"LGI3"	0	17	0	1	0	0	1	0
"LGI4"	202	277	358	261	2	39	4	259
"LGMN"	12844	1100	1535	1576	2533	11194	4013	5667
"LGMNP1"	15	0	0	0	3	5	4	2
"LGR4"	2828	199	310	360	341	4053	1662	2629
"LGR5"	0	0	7	6	1	3	22	347
"LGR6"	140	105	59	57	1934	179	957	1037
"LGSN"	202	8	56	33	36	142	118	162
"LHB"	1	0	0	0	0	0	0	1
"LHCGR"	68	11	5	16	23	55	50	251
"LHFPL1"	3	0	0	2	2	4	13	3
"LHFPL2"	7986	1645	952	840	2796	14677	12195	3850
"LHFPL3"	3	41	1	0	0	2	4	8
"LHFPL4"	135	34	5	5	14	19	7	10
"LHFPL5"	946	388	134	75	211	1487	1714	1323
"LHFPL6"	7170	2306	1281	1574	542	5460	2573	6994
"LHPP"	306	78	96	52	127	157	113	108
"LHX1"	0	0	4	0	0	0	0	0
"LHX2"	0	0	0	0	3	24	10	0
"LHX3"	0	0	6	0	0	0	0	0
"LHX4"	371	0	0	3	79	267	600	202
"LHX5"	0	4	0	0	1	0	0	0
"LHX6"	111	37	63	16	19	245	126	381
"LHX8"	1	7	3	0	0	0	0	13
"LHX9"	41	29	5	1	1	137	45	9
"LIAS"	568	417	387	242	77	686	771	648
"LIF"	92	30	41	7	49	127	2	1
"LIFR"	9066	671	915	1033	638	4755	4043	14069
"LIG1"	934	271	130	43	40	155	210	166
"LIG3"	1292	130	172	213	376	2244	1608	1379
"LIG4"	1051	189	123	73	278	1027	1080	1020
"LILRA1"	52	0	5	16	1	5	6	84
"LILRA2"	843	41	65	76	32	106	118	403
"LILRA3"	0	0	0	2	4	23	1	32
"LILRA4"	1	0	0	0	35	4	5	0
"LILRA5"	160	63	106	57	29	119	121	135
"LILRA6"	629	71	91	83	85	119	148	294
"LILRB1"	688	105	129	137	144	123	589	288
"LILRB2"	375	245	61	98	168	182	29	138
"LILRB3"	262	39	54	18	35	0	24	531
"LILRB4"	1600	312	194	142	456	3201	3225	430
"LILRB5"	9770	580	735	627	123	3477	903	1513
"LILRP1"	5	0	0	0	1	0	2	15
"LILRP2"	0	0	0	0	1	0	0	0
"LIM2"	0	0	0	0	0	0	1	0
"LIMA1"	7208	3602	2921	2044	1057	12869	7632	9088
"LIMCH1"	4447	1996	1418	683	336	3857	2568	3998
"LIMD1"	8224	1479	1193	1006	1322	5620	5608	4558
"LIMD2"	24	33	151	49	176	270	1153	197
"LIME1"	6	16	23	23	21	55	66	72
"LIMK1"	1205	435	271	239	119	440	534	722
"LIMK2"	743	99	89	90	255	904	1017	1733
"LIMK2P1"	1	0	0	0	0	0	0	0
"LIMS1"	3197	759	839	573	814	4785	4484	4994
"LIMS2"	1515	417	324	237	145	325	49	908
"LIMS3"	120	2	7	2	22	115	92	108
"LIMS4"	5	18	20	12	47	143	96	172
"LIN28A"	199	140	43	36	30	172	196	194
"LIN28AP1"	9	0	0	0	1	3	2	0
"LIN28AP2"	0	0	0	0	0	0	0	0
"LIN28B"	43	2	4	2	1	29	26	15
"LIN37"	63	19	44	48	27	22	23	79
"LIN52"	376	279	150	82	71	604	871	543
"LIN54"	675	212	132	93	152	1791	1828	1308
"LIN7A"	221	33	43	28	123	472	512	920
"LIN7B"	26	0	17	7	5	30	57	61
"LIN7C"	1973	447	546	427	353	3489	3885	2275
"LIN9"	91	24	39	33	36	135	151	119
"LINC00032"	63	1	6	1	13	25	48	52
"LINC00265-2P"	0	0	0	0	0	0	0	2
"LINC00265-3P"	0	0	0	0	0	0	0	0
"LINC00266-2P"	0	0	0	0	3	0	0	0
"LINC00301"	0	0	0	0	0	0	0	0
"LINC00328-2P"	10	0	0	0	0	6	24	14
"LINC00431"	105	41	8	7	18	68	76	70
"LINC00475"	44	0	0	0	5	102	20	33
"LINC00634"	0	0	0	0	0	0	2	2
"LINC00643"	127	112	24	34	17	112	144	54
"LINC00672"	323	122	71	6	148	278	663	517
"LINC00674"	468	307	237	179	202	648	1024	776
"LINC00680"	793	135	21	19	150	1058	870	669
"LINC00869"	1799	138	301	178	313	1033	1883	1373
"LINC00888"	149	70	61	81	138	163	197	120
"LINC00933"	127	15	16	18	8	109	87	164
"LINC00993"	19	34	0	6	8	16	21	33
"LINC01085"	0	34	0	0	1	49	2	16
"LINC01145"	1255	266	170	162	292	1712	1831	1486
"LINC01347"	199	52	0	13	38	389	298	360
"LINC01399"	2	0	0	0	0	2	1	2
"LINC01529"	8	0	0	0	0	0	0	0
"LINC01556"	0	0	0	0	0	0	3	1
"LINC01667"	181	110	174	163	32	46	32	52
"LINC01869"	0	9	0	0	0	0	0	0
"LINC01881"	808	154	64	49	190	955	768	838
"LINC02203"	0	9	0	0	0	0	0	0
"LINC02210"	913	310	319	226	278	1286	1123	822
"LINC02210-CRHR1"	0	0	0	0	0	0	0	0
"LINC02218"	0	0	0	0	8	5	2	23
"LINC02618"	1	9	0	0	1	0	6	0
"LINGO1"	162	99	20	8	6	22	0	0
"LINGO2"	10	14	0	0	1	2	0	16
"LINGO3"	96	55	41	26	0	17	26	6
"LINGO4"	0	0	0	0	0	0	3	10
"LINS1"	1206	167	215	84	375	1691	2930	1543
"LIPA"	6035	413	325	385	1001	6034	5956	3250
"LIPC"	416	24	29	6	19	180	120	168
"LIPE"	847	113	115	170	56	85	245	550
"LIPF"	6	0	1	4	4	16	1	0
"LIPG"	542	247	193	60	109	643	650	631
"LIPH"	138	57	65	1	12	89	147	176
"LIPI"	3	0	0	0	3	15	12	12
"LIPJ"	3	25	0	0	6	18	26	4
"LIPK"	1	0	0	0	12	8	1	0
"LIPM"	0	0	0	0	0	0	1	10
"LIPN"	27	0	3	0	23	540	124	468
"LIPT1"	232	229	80	16	53	200	366	280
"LIPT1P1"	58	0	0	0	2	31	7	7
"LIPT2"	49	2	8	6	30	39	65	111
"LITAF"	2094	430	895	545	1321	3629	5126	4819
"LITAFD"	54	5	18	6	13	49	64	25
"LIX1"	39	181	15	6	29	121	1063	109
"LIX1L"	1522	457	622	406	90	398	350	1055
"LKAAEAR1"	15	0	2	0	1	0	0	0
"LLCFC1"	0	0	0	0	0	1	0	4
"LLGL1"	3763	388	330	292	98	147	376	25
"LLGL2"	74	2	57	38	85	91	265	124
"LLPH"	583	438	337	180	373	1976	1969	1499
"LLPHP1"	0	0	5	0	0	0	0	0
"LLPHP2"	0	0	0	0	0	5	7	17
"LLPHP3"	0	0	0	0	0	0	0	0
"LMAN1"	5102	465	506	534	1868	8390	7246	4971
"LMAN1L"	0	0	0	0	2	6	12	0
"LMAN2"	3176	297	320	216	183	1248	1157	1539
"LMAN2L"	795	30	31	62	38	433	452	400
"LMBR1"	1964	324	272	140	398	3584	3014	3306
"LMBR1L"	1294	56	184	88	28	205	189	677
"LMBRD1"	2933	338	344	269	790	4554	5760	3066
"LMBRD2"	1158	158	152	135	459	892	1463	1175
"LMCD1"	2293	198	346	266	313	3607	1412	2677
"LMF1"	1751	240	143	108	26	255	109	403
"LMF2"	2359	628	319	229	107	120	84	275
"LMLN"	620	77	111	31	125	371	466	430
"LMLN2"	19	1	14	0	3	26	19	64
"LMNA"	30171	14116	11782	7217	1105	13614	6350	8871
"LMNB1"	144	0	84	7	286	300	830	412
"LMNB2"	987	381	392	289	142	260	698	182
"LMNTD1"	75	48	2	0	10	96	91	125
"LMNTD2"	96	20	15	12	4	4	14	62
"LMO1"	0	0	0	0	0	1	0	0
"LMO2"	2226	95	261	152	58	923	752	820
"LMO3"	135	59	37	63	66	164	89	1295
"LMO4"	6903	259	338	275	432	3632	4055	2227
"LMO7"	1388	208	118	124	91	1099	1621	1831
"LMOD1"	617	996	239	377	36	184	44	1347
"LMOD2"	0	1	0	1	10	12	11	0
"LMOD3"	111	257	233	165	63	85	91	59
"LMTK2"	1587	273	229	213	405	1355	1093	1457
"LMTK3"	3	15	48	40	6	5	0	4
"LMX1A"	24	104	21	21	11	8	14	104
"LMX1B"	100	78	47	50	39	164	86	291
"LNP1"	251	23	24	7	3	88	120	156
"LNPEP"	6613	751	682	753	2218	10298	16053	10073
"LNPK"	2293	491	344	278	537	2655	3177	3120
"LNX1"	942	37	147	32	233	3378	1723	1178
"LNX2"	514	61	65	46	128	434	710	860
"LONP1"	2152	553	333	235	116	132	124	434
"LONP2"	5759	521	591	583	1164	5463	6588	6448
"LONRF1"	805	181	308	174	124	817	943	2379
"LONRF2"	1084	208	137	163	107	469	423	563
"LONRF2P1"	0	0	0	0	0	0	0	0
"LONRF2P2"	0	0	0	0	0	0	0	0
"LONRF2P3"	1	0	0	0	0	0	0	0
"LONRF2P4"	0	0	0	0	0	0	0	0
"LONRF2P5"	0	0	0	0	0	0	0	0
"LONRF3"	609	42	73	55	74	529	97	451
"LORICRIN"	0	0	0	0	11	0	0	0
"LOX"	534	173	166	96	246	5586	741	2304
"LOXHD1"	113	51	32	8	1	177	40	68
"LOXL1"	247	233	124	78	171	2687	698	878
"LOXL2"	6418	759	349	237	132	4287	673	943
"LOXL3"	1394	115	95	43	66	497	380	512
"LOXL4"	896	117	46	73	90	278	141	706
"LPA"	38	0	13	0	0	0	4	0
"LPAL2"	85	131	8	9	36	137	357	169
"LPAR1"	6762	5279	3786	3282	1528	10182	7163	5472
"LPAR2"	149	27	15	21	65	89	93	144
"LPAR3"	99	28	5	9	17	100	107	116
"LPAR4"	387	456	340	153	16	208	140	329
"LPAR5"	738	27	77	137	26	164	145	35
"LPAR6"	2432	116	247	119	403	3957	3972	2052
"LPCAT1"	3072	224	263	197	291	1467	1345	1445
"LPCAT2"	1375	291	216	196	100	1735	1622	1918
"LPCAT2BP"	0	0	0	0	0	0	1	0
"LPCAT3"	391	103	117	68	15	967	726	426
"LPCAT4"	289	35	32	34	50	382	366	33
"LPGAT1"	2235	526	443	302	1041	5185	5488	4236
"LPIN1"	3028	409	551	344	415	2975	3311	2933
"LPIN2"	3479	367	465	404	511	3239	3244	3045
"LPIN3"	2732	646	325	172	132	653	432	875
"LPL"	1349	111	61	187	134	166	148	9974
"LPO"	95	34	35	32	15	90	76	137
"LPP"	14722	3408	4313	3852	4672	26781	19940	22476
"LPXN"	892	68	103	71	316	2048	2636	1067
"LRAT"	577	832	622	440	36	138	162	212
"LRATD1"	1729	25	14	37	42	136	119	434
"LRATD2"	417	133	144	89	129	768	944	1413
"LRBA"	5382	402	430	308	1812	6294	11702	8527
"LRCH1"	2241	836	514	378	480	2533	3033	2163
"LRCH2"	97	41	52	34	8	109	116	375
"LRCH3"	4076	1161	993	670	594	3541	4513	4465
"LRCH4"	1254	415	369	134	179	146	209	304
"LRCOL1"	29	0	1	0	2	0	1	2
"LRFN1"	76	43	9	6	20	112	88	67
"LRFN2"	4	34	0	1	0	0	0	12
"LRFN3"	198	186	114	57	15	52	51	137
"LRFN4"	693	240	237	131	11	65	47	182
"LRFN5"	846	60	129	89	66	264	166	1267
"LRG1"	82	31	27	2	34	119	157	288
"LRGUK"	69	18	7	13	79	70	273	133
"LRIF1"	501	83	86	50	69	238	908	864
"LRIG1"	3053	457	179	286	475	2605	1806	3406
"LRIG2"	3152	412	282	313	727	3898	3835	3615
